Model,Accuracy,F1-Score,Precision,Recall
AdaBoostClassifier,0.29518867826430556,0.3764425591371595,0.5718286135212155,0.4231825715699321
MLPClassifier,0.9526458630119893,0.9201882784909177,0.939255646019031,0.9040471341487822
RandomForestClassifier,0.9654826399359461,0.9488733053491474,0.9604346469747824,0.9382962691854105
GaussianNB,0.8268412898127255,0.7077395404375451,0.7347455146109041,0.7197851960934887
ExtraTreesClassifier,0.9647859497343219,0.9481699514121406,0.9601813363769729,0.9372078833601292
